,date,open,close,high,low,volume
10095,2024-09-26,226.28,226.5,227.48,224.39,36636707
10096,2024-09-27,227.44,226.77,228.5,226.28,34025967
10097,2024-09-30,229.02,231.98,231.98,228.63,54793391
10098,2024-10-01,228.5,225.19,228.63,222.72,63285048
10099,2024-10-02,224.87,225.76,226.35,222.0,32880605
10100,2024-10-03,224.12,224.65,225.785,222.3,34044158
10101,2024-10-04,226.88,225.78,226.98,223.11,37345098
10102,2024-10-07,223.48,220.67,224.67,220.31,39505354
10103,2024-10-08,223.28,224.75,224.96,222.23,31855693
10104,2024-10-09,224.21,228.52,228.73,223.81,33591091
10105,2024-10-10,226.76,228.02,228.48,226.15,28183544
10106,2024-10-11,228.28,226.53,228.39,226.32,31759188
10107,2024-10-14,227.68,230.28,230.71,227.58,39882085
10108,2024-10-15,232.59,232.83,236.47,231.35,64751367
10109,2024-10-16,230.58,230.76,231.1,228.82,34082240
10110,2024-10-17,232.41,231.13,232.83,229.5,32993810
10111,2024-10-18,235.16,233.98,235.16,232.99,46431472
10112,2024-10-21,233.43,235.46,235.83,233.43,36254470
10113,2024-10-22,232.865,234.84,235.2,231.58,38846578
10114,2024-10-23,233.06,229.74,234.124,226.74,52286979
10115,2024-10-24,228.96,229.55,229.8,227.39,31109503
10116,2024-10-25,228.72,230.39,232.2,228.55,38802304
10117,2024-10-28,232.3,232.38,233.71,231.53,36087134
10118,2024-10-29,232.08,232.65,233.305,231.3,35417247
10119,2024-10-30,231.59,229.08,232.45,228.53,47070907
10120,2024-10-31,228.32,224.89,228.81,224.35,64370086
10121,2024-11-01,219.945,221.89,224.33,219.25,65276741
10122,2024-11-04,219.97,220.99,221.77,218.69,44944468
10123,2024-11-05,220.775,222.43,222.93,220.12,28111338
10124,2024-11-06,221.59,221.7,225.045,220.17,54561121
10125,2024-11-07,223.605,226.46,226.855,223.55,42137691
10126,2024-11-08,226.4,226.19,227.89,225.635,38328824
10127,2024-11-11,224.23,223.46,224.93,220.73,42005602
10128,2024-11-12,223.78,223.46,224.82,222.585,40398299
10129,2024-11-13,223.24,224.35,225.88,221.99,48566217
10130,2024-11-14,224.25,227.45,228.1,224.23,44923941
10131,2024-11-15,225.63,224.23,226.15,223.5,47923696
10132,2024-11-18,224.48,227.25,228.97,224.4,44686020
10133,2024-11-19,226.21,227.51,229.39,225.89,36211774
10134,2024-11-20,227.29,228.23,229.16,225.12,35169566
10135,2024-11-21,228.11,227.75,229.385,224.94,42108327
10136,2024-11-22,227.29,229.1,229.95,227.29,38168252
10137,2024-11-25,230.69,232.1,232.475,228.97,90152832
10138,2024-11-26,232.56,234.29,234.8,232.56,45986189
10139,2024-11-27,233.695,234.16,234.92,233.04,33498439
10140,2024-11-29,234.035,236.56,237.04,233.2,28481377
10141,2024-12-02,236.5,238.82,240.02,236.39,48137103
10142,2024-12-03,239.04,241.88,241.99,238.13,38861017
10143,2024-12-04,242.1,242.24,243.34,240.48,44383935
10144,2024-12-05,243.22,242.27,243.77,241.36,40033878
10145,2024-12-06,242.135,242.07,243.86,241.31,36870619
10146,2024-12-09,241.06,245.98,246.47,240.98,44649232
10147,2024-12-10,246.12,247.0,247.44,244.57,36914806
10148,2024-12-11,247.19,245.72,250.03,245.49,45205814
10149,2024-12-12,246.12,247.19,247.97,244.91,32777532
10150,2024-12-13,247.045,247.36,248.52,245.47,33155290
10151,2024-12-16,247.22,250.27,250.61,246.88,51694753
10152,2024-12-17,249.31,252.71,253.06,249.01,51356360
10153,2024-12-18,251.39,247.28,253.51,246.97,56774101
10154,2024-12-19,246.73,249.02,251.23,246.325,60882264
10155,2024-12-20,247.27,253.72,254.23,244.92,147495267
10156,2024-12-23,254.0,254.5,254.88,252.68,40858774
10157,2024-12-24,254.72,257.43,257.44,254.52,23234705
10158,2024-12-26,257.42,258.25,259.33,256.86,27262983
10159,2024-12-27,257.06,254.82,257.93,252.29,42355321
10160,2024-12-30,251.46,251.43,252.73,249.98,35557542
10161,2024-12-31,251.67,249.65,252.51,248.66,39480718
10162,2025-01-02,248.16,243.08,248.33,241.05,55740731
10163,2025-01-03,242.59,242.59,243.41,241.12,40244114
10164,2025-01-06,243.54,244.23,246.56,242.43,45045571
